model,gene_region,observed_time_since_infection,model_derived_time_since_infection_mean,model_derived_time_since_infection_0.055_quantile,model_derived_time_since_infection_0.945_quantile
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),6,2.72229951954013,-0.347572334246429,0.804797887682805
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),6,3.81076515101438,-0.26375486493307,0.894616382425641
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),16,5.67348344072986,-0.163453494784627,1.11776709454336
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),6,5.59073569474808,-0.199443574592867,1.1253298758343
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),21,6.42567379163884,-0.128622092009963,1.1950737870873
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),16,6.78259289972619,-0.142727091369938,1.27461855845331
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),16,8.78271618874528,-0.129363376290273,1.6047129957154
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),21,12.101152379843,0.00203124461621816,2.00104589104453
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),21,12.2815812025597,-0.0562750593440389,2.1219914296896
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),0.93,0.23904696494728,-0.528102505741384,0.559224166214551
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),0.93,13.8161094501218,0.0155316094487092,2.29927584895738
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),3.93,18.3043168598939,0.359357628371543,2.69828843458232
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),0.93,19.3585479563841,0.399022680538953,2.82838186108452
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),3.93,17.8439190043144,0.202245112319861,2.77441403824226
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),9.93,23.2025418548518,0.322258180826329,3.55311087401872
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),9.93,28.6036227482486,0.706164564808753,4.08995278450218
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),3.93,34.0905588572336,0.319654145219315,5.35456172883077
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),9.93,42.489001428298,0.424830795925138,Inf
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),1.51,6.37978388559618,-0.11943770496642,1.18708038040387
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),4.51,10.6588073003609,0.0654152040278485,1.70660083923214
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),1.51,17.2863289865546,0.0930549880259061,2.8074565572305
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),4.51,18.1082893127322,0.0963238977786233,2.9300485059579
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),4.51,20.976263568905,0.304540767203125,3.20606061385317
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),1.51,22.6238244269069,0.351738791863332,3.45050401048147
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),6,3.97363461602611,-0.264330479339687,0.928128222244199
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),6,5.08316057706515,-0.255597226924847,1.1067045649134
