model,gene_region,difference,mean_absolute_error
"adult-trained
linear models",gene region 1 (within gag),26.0886312564415,64.017
"adult-trained
linear models",gene region 1 (within gag),71.6309410398544,64.017
"adult-trained
linear models",gene region 1 (within gag),99.9915559689671,64.017
"adult-trained
linear models",gene region 1 (within gag),62.8786513571538,64.017
"adult-trained
linear models",gene region 1 (within gag),81.1169222323312,64.017
"adult-trained
linear models",gene region 1 (within gag),94.757889753983,64.017
"adult-trained
linear models",gene region 1 (within gag),150.30217750958,64.017
"adult-trained
linear models",gene region 1 (within gag),152.875661478153,64.017
"adult-trained
linear models",gene region 1 (within gag),8.77707526634431,64.017
"adult-trained
linear models",gene region 1 (within gag),14.2373319667657,64.017
"adult-trained
linear models",gene region 1 (within gag),51.7829379063864,64.017
"adult-trained
linear models",gene region 1 (within gag),39.0237668202701,64.017
"adult-trained
linear models",gene region 1 (within gag),146.252578932456,64.017
"adult-trained
linear models",gene region 1 (within gag),100.93739634813,64.017
"adult-trained
linear models",gene region 1 (within gag),6.6543205663401,64.017
"adult-trained
linear models",gene region 1 (within gag),-7.2486760609845,64.017
"adult-trained
linear models",gene region 1 (within gag),5.04352587053659,64.017
"adult-trained
linear models",gene region 1 (within gag),86.8000728422026,64.017
"adult-trained
linear models",gene region 1 (within gag),121.884288832496,64.017
"adult-trained
linear models",gene region 1 (within gag),96.1359766087297,64.017
"adult-trained
linear models",gene region 1 (within gag),29.0736413777364,64.017
"adult-trained
linear models",gene region 1 (within gag),14.3352561853389,64.017
"adult-trained
linear models",gene region 1 (within gag),12.955674517475,64.017
"adult-trained
linear models",gene region 1 (within gag),81.9916554507316,64.017
"adult-trained
linear models",gene region 1 (within gag),40.5295898544471,64.017
"adult-trained
linear models",gene region 1 (within gag),14.1670074738184,64.017
"adult-trained
linear models",gene region 1 (within gag),24.6820815929499,64.017
"adult-trained
linear models",gene region 1 (within gag),92.1285917857083,64.017
"adult-trained
linear models",gene region 1 (within gag),121.706393085359,64.017
"adult-trained
linear models",gene region 1 (within gag),30.0750966989032,64.017
"adult-trained
linear models",gene region 1 (within gag),8.50213439063913,64.017
"adult-trained
linear models",gene region 1 (within gag),16.2733153723219,64.017
"adult-trained
linear models",gene region 1 (within gag),136.344601536291,64.017
"adult-trained
linear models",gene region 1 (within gag),154.090424303336,64.017
"adult-trained
linear models",gene region 1 (within gag),126.779609477298,64.017
"adult-trained
linear models",gene region 1 (within gag),114.868768876718,64.017
"adult-trained
linear models",gene region 1 (within gag),143.731600766742,64.017
"adult-trained
linear models",gene region 1 (within gag),109.12792859704,64.017
"adult-trained
linear models",gene region 1 (within gag),30.2164781534963,64.017
"adult-trained
linear models",gene region 1 (within gag),62.2605955548421,64.017
"adult-trained
linear models",gene region 1 (within gag),63.2748174108265,64.017
"adult-trained
linear models",gene region 1 (within gag),54.4073741941926,64.017
"adult-trained
linear models",gene region 1 (within gag),33.8175527013911,64.017
"adult-trained
linear models",gene region 1 (within gag),18.2174392262955,64.017
"adult-trained
linear models",gene region 1 (within gag),19.7611747252564,64.017
"adult-trained
linear models",gene region 1 (within gag),90.737065567397,64.017
"adult-trained
linear models",gene region 1 (within gag),0.73210336414012,64.017
"adult-trained
linear models",gene region 1 (within gag),29.9431580042586,64.017
"adult-trained
linear models",gene region 1 (within gag),-12.3829102554283,64.017
"adult-trained
linear models",gene region 1 (within gag),8.19317534863518,64.017
"adult-trained
linear models",gene region 1 (within gag),-2.50591090389327,64.017
"adult-trained
linear models",gene region 1 (within gag),94.94322712425,64.017
"adult-trained
linear models",gene region 1 (within gag),48.3597335943615,64.017
"adult-trained
linear models",gene region 1 (within gag),97.8892933093234,64.017
"adult-trained
linear models",gene region 1 (within gag),100.882677052739,64.017
"adult-trained
linear models",gene region 1 (within gag),29.6117597884038,64.017
"adult-trained
linear models",gene region 1 (within gag),74.6218668855096,64.017
"adult-trained
linear models",gene region 1 (within gag),154.27129660852,64.017
"adult-trained
linear models",gene region 1 (within gag),91.3668569553148,64.017
"adult-trained
linear models",gene region 1 (within gag),44.6898160141814,64.017
"adult-trained
linear models",gene region 1 (within gag),69.0651154773069,64.017
"adult-trained
linear models",gene region 1 (within gag),41.1412630080213,64.017
"infant-trained
hierarchical
model",gene region 1 (within gag),-3.50752942832596,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-7.91424673501096,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-9.71987584617051,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),11.6889971436014,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),27.2484499435276,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),28.8799882656988,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),14.3584559032343,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),12.1063103928809,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-1.33241674972564,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-3.19946256361104,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-6.93529267330308,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),0.0929775227923626,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-11.5298620528795,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),3.86955094974852,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-9.9048328734745,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),0.758285481863739,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-7.55399592641885,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),0.109983095571073,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-1.35980732582334,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-10.1512682999992,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),0.695794544505606,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-4.91464465875605,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-7.63929855161291,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-16.2499559759513,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-7.87053396010748,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),15.9986978593367,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),0.961068588059336,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),1.0014769486677,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-4.2088909679501,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-1.39538223825518,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-5.28276972917912,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),-5.41411898799477,7.457
"infant-trained
hierarchical
model",gene region 1 (within gag),8.95037462430432,7.457
